Year,Haul,ADFG_Station,Date,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg,Remarks
1999,1,134,7/28/1999,705,270,0,0,42.2,
1999,2,133,7/28/1999,920,270,0,0,37,
1999,3,132,7/28/1999,475,190,0,0.86,42.42,
1999,4,131,7/29/1999,785,570,0,0,53.3,
1999,5,130,7/29/1999,315,180,0,4.5,53.9,
1999,6,129,7/29/1999,480,140,0,12.2,56,
1999,7,129,7/29/1999,495,160,0,0,0,resample crab only
1999,8,128,7/29/1999,830,170,0,3.5,40,
1999,9,127,7/29/1999,787,170,0,0,34.9,
1999,10,126,7/29/1999,585,325,0,0,43.5,
1999,11,125,7/30/1999,340,230,0,3.4,28,
1999,12,124,7/30/1999,104.7,0,0,0,47.8,
1999,13,123,7/30/1999,145.9,0,0,0,33.4,
1999,14,150,7/30/1999,192.64,0,0,6.24,48.7,
1999,15,176,7/30/1999,389.54,0,0,0,41.4,
1999,16,201,7/30/1999,378.3,0,46,0,78.7,
1999,17,204,7/31/1999,945,200,685,0,54.4,
1999,18,186,7/31/1999,125,45,0,1.3,77.8,
1999,19,187,8/1/1999,128.82,0,0,0.92,128.8,
1999,20,161,8/1/1999,79.8,0,0,0.9,79.8,
1999,21,160,8/1/1999,94.4,0,0,0,64.1,
1999,22,159,8/1/1999,72.6,0,0,0,72.6,
1999,23,185,8/1/1999,215.7,0,10,5,48.2,
1999,24,184,8/2/1999,273,109,6,7.4,60.2,
1999,25,184,8/2/1999,235,52,0,7.5,0,resampled crab only
1999,26,158,8/2/1999,275,114,0,1,54.1,
1999,27,157,8/2/1999,157,83,0,1.2,76.1,
1999,28,183,8/2/1999,392,121,11,22.4,38.4,
1999,29,183,8/2/1999,0,0,0,0,0,Bad haul
1999,30,183,8/2/1999,255,85,0,33.1,0,resampled crab only
1999,31,182,8/2/1999,346,100,13,11.2,45.1,
1999,32,182,8/2/1999,534,100,0,16.8,0,resampled crab only
1999,33,156,8/3/1999,175,117,0,5.1,67.1,
1999,34,155,8/3/1999,257,127,2,5.7,57.4,
1999,35,181,8/3/1999,183,98,6,1.7,89.8,
1999,36,203,8/3/1999,448,113,10,0.2,55.8,
1999,37,202,8/3/1999,380,117,5,0,62.3,
1999,38,180,8/3/1999,659,106,0,4,55.7,
1999,39,154,8/3/1999,276,114,0,6.2,65.8,
1999,40,179,8/4/1999,195,85,0,1,53,
1999,41,153,8/4/1999,214,87,0,22.6,72.3,
1999,42,153,8/4/1999,0,0,0,0,0,bad haul
1999,43,153,8/4/1999,245,117,0,23.7,0,resampled crab only
1999,44,152,8/4/1999,187,84,0,28.8,52.6,
1999,45,152,8/4/1999,195,82,0,3.9,3.94,resampled crab only
1999,46,151,8/4/1999,207,77,0,8.3,61.6,
1999,47,151,8/4/1999,200,86,0,15.1,0,resampled crab only
1999,48,98,8/5/1999,167,85,0,6.7,79,
1999,49,98,8/5/1999,193,114,0,11.4,0,resampled crab only
1999,50,97,8/5/1999,562,95,467,1.5,80.6,Ripped net - use for minimal pop estimate
1999,51,99,8/5/1999,173,86,0,1.5,85.3,
1999,52,100,8/5/1999,410,103,0,6.8,65.9,
1999,53,101,8/5/1999,841,128,0,0,72,
1999,54,102,8/5/1999,445,101,0,3.4,71.4,
1999,55,103,8/6/1999,235,87,0,6.3,67.2,
1999,56,104,8/6/1999,217,99,6,5.3,104.7,
1999,57,105,8/6/1999,245,99,22,0,61.6,
1999,58,106,8/6/1999,287,85,18,3.4,61.9,
1999,59,107,8/6/1999,291,105,5,0,65.8,
1999,60,135,8/6/1999,257,100,22,0,61.5,
1999,61,162,8/7/1999,0,0,0,0,0,Destroyed net - lost cod end
1999,62,78,8/7/1999,948,139,0,0,0,15 mins no crab - ton of mud -tare after washing m
1999,63,78,8/7/1999,0,0,0,0,0,18 mins no crab - hu8ge mud load breaking web
1999,64,77,8/7/1999,220,111,0,0,54.5,
