HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,Month,Day,Year,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,WEIGHT,SAMPLING_FACTOR
-7082,94,201002,10,3,0,7262010,7,26,2010,0,0.493,2.7,15.017,Y,3.164,61.99605,-167.41496,V-02,22,25,8,2.8,137,44,15,1,0.011821293,69322,,,,,,,,,,,,,,,
-7083,94,201002,11,3,0,7262010,7,26,2010,0,0.494,2.691,15.308,Y,3.388,62.33545,-167.43715,W-02,22,25,8,0.8,137,44,15,1,0.012010199,69322,,,,,,,,,,,,,,,
-7086,94,201002,14,3,0,7262010,7,26,2010,0,0.509,2.872,15.016,Y,3.284,62.66204,-167.47114,X-02,24,27,7.3,1.3,137,44,15,1,0.012573516,69322,,,,,,,,,,,,,,,
-7087,94,201002,15,3,0,7272010,7,27,2010,0,0.496,2.75,16.247,Y,2.943,62.99885,-167.48437,Y-02,31,34,6.6,1.2,137,44,15,1,0.013026385,69322,,,,,,,,,,,,,,,
-7090,94,201002,18,3,0,7272010,7,27,2010,0,0.513,2.836,15.725,Y,2.923,63.33091,-167.50747,ZZ-02,30,33,7.7,0.6,137,44,15,1,0.013002142,69322,,,,,,,,,,,,,,,
-7091,94,201002,19,3,0,7282010,7,28,2010,0,0.51,2.777,15.272,Y,3.105,63.6654,-167.52793,AA-02,25,28,7.1,0.7,137,44,15,1,0.012364878,69322,,,,,,,,,,,,,,,
-7116,94,201002,44,3,0,8022010,8,2,2010,0,0.522,2.807,16.808,Y,2.449,65.31617,-167.92059,FF-02,36,38,8.9,2.2,183,44,15,1,0.013755503,69322,,,,,,,,,,,,,,,
-7117,94,201002,45,3,5.5,8022010,8,2,2010,0,0.51,2.918,15.578,Y,2.419,65.01644,-167.62878,EE-02,31,33,9.2,3.2,137,44,15,1,0.013253025,69322,,,,,,,,,,,,,,,
-7119,94,201002,47,3,0,8032010,8,3,2010,0,0.509,2.651,15.804,Y,2.532,64.67294,-167.6068,DD-02,28,31,9,0.6,137,44,15,1,0.012215037,69322,,,,,,,,,,,,,,,
-7120,94,201002,48,3,0,8032010,8,3,2010,0,0.511,2.903,15.708,Y,2.546,64.6625,-166.83244,DD-03,23,26,11.2,2.4,137,44,15,1,0.013294927,69322,2,78,2,0,0,0,,,,,,,338.1028473,,1
-7120,94,201002,48,3,0,8032010,8,3,2010,0,0.511,2.903,15.708,Y,2.546,64.6625,-166.83244,DD-03,23,26,11.2,2.4,137,44,15,1,0.013294927,69322,1,60,2,,,,,11,,,,,155.2644489,126,1
-7121,94,201002,49,3,0,8032010,8,3,2010,0,0.512,2.715,15.754,Y,2.613,64.33846,-166.82522,CC-03,27,30,11.9,0.7,137,44,15,2,0.012470352,69322,,,,,,,,,,,,,,,
-7122,94,201002,50,3,0,8042010,8,4,2010,0,0.514,2.768,15.102,Y,2.675,64.33415,-167.57534,CC-02,29,32,9.4,1.4,137,44,15,1,0.012187611,69322,,,,,,,,,,,,,,,
